Frame,RX,RY,RZ,TX,TY,TZ
199,0.870632,0.02148,0.034984,23.761868,122.307594,273.954346
200,0.870993,0.020797,0.034605,23.788389,122.2967,273.917236
201,0.87083,0.021263,0.035012,23.767891,122.331161,273.959229
202,0.870734,0.022397,0.035784,23.807327,122.346733,273.974091
203,0.870564,0.022563,0.036059,23.840691,122.273537,273.992554
204,0.870311,0.021265,0.035045,23.816027,122.325165,273.98761
205,0.870633,0.021747,0.035209,23.763464,122.280594,273.964935
206,0.870993,0.021573,0.03496,23.779747,122.28006,273.941071
207,0.870344,0.022134,0.035559,23.810863,122.3172,274.011963
208,0.871465,0.022294,0.035422,23.773699,122.229301,273.895081
209,0.87074,0.021623,0.034845,23.768246,122.281654,273.917847
210,0.870195,0.021453,0.034995,23.771328,122.275627,273.97171
211,0.871716,0.022119,0.03547,23.788946,122.320648,273.872375
212,0.870649,0.020539,0.034124,23.697456,122.325737,273.974792
213,0.870664,0.021205,0.035133,23.816202,122.240257,273.935181
214,0.870731,0.022179,0.035507,23.796894,122.334511,273.946777
215,0.870367,0.021638,0.035252,23.800415,122.289673,274.01889
216,0.870908,0.021724,0.035586,23.819775,122.350159,273.990417
217,0.871115,0.022447,0.035723,23.804684,122.307648,273.940918
218,0.870199,0.022902,0.036378,23.818668,122.336922,274.015472
219,0.870578,0.022663,0.035891,23.844322,122.257172,273.981354
220,0.87094,0.022352,0.035841,23.777113,122.277374,273.950806
221,0.870371,0.021824,0.035599,23.799562,122.21067,273.993805
222,0.870748,0.022283,0.036084,23.808226,122.280212,273.941345
223,0.870309,0.021904,0.035671,23.811911,122.297653,273.973175
224,0.870563,0.021524,0.034748,23.739595,122.28463,273.958191
225,0.870285,0.022705,0.036101,23.810095,122.320595,273.963287
226,0.870388,0.022306,0.035242,23.774061,122.269363,273.952332
227,0.870897,0.022117,0.035482,23.811983,122.316544,273.926483
228,0.871012,0.02192,0.035106,23.775578,122.227242,273.935211
229,0.870583,0.02267,0.036309,23.836637,122.298721,273.956512
230,0.870819,0.022275,0.035938,23.830374,122.284088,273.988007
231,0.871338,0.021782,0.035316,23.786644,122.281052,273.948242
232,0.870251,0.021986,0.035614,23.800623,122.290695,274.040009
233,0.87043,0.02144,0.034961,23.773466,122.296242,274.021942
234,0.870779,0.022047,0.035433,23.776697,122.230049,273.969391
235,0.870674,0.021845,0.035464,23.775166,122.283951,273.982788
236,0.870613,0.021111,0.034922,23.770275,122.222107,273.961761
237,0.870292,0.021416,0.035072,23.758574,122.273033,273.938019
238,0.870408,0.022315,0.036038,23.839621,122.270134,273.955383
239,0.870439,0.021698,0.035265,23.774061,122.256935,273.941681
240,0.870946,0.022128,0.035436,23.809164,122.280746,273.91626
241,0.87071,0.021509,0.034939,23.784443,122.319328,273.942444
242,0.87083,0.022151,0.035699,23.801451,122.292244,273.971375
243,0.870135,0.021673,0.035755,23.82254,122.291275,274.04425
244,0.870408,0.022169,0.035552,23.798723,122.323112,274.017609
245,0.870457,0.021869,0.035616,23.806431,122.276176,273.996857
246,0.87081,0.022057,0.035543,23.820211,122.24881,273.999542
247,0.870655,0.02132,0.034972,23.798927,122.248116,273.982178
248,0.87031,0.022409,0.035858,23.807272,122.261955,273.961243
249,0.870925,0.022029,0.03527,23.777117,122.286827,273.917511
250,0.870447,0.022478,0.035855,23.8048,122.259415,273.950592
251,0.870168,0.021641,0.035621,23.82032,122.242836,273.964569
252,0.870428,0.022066,0.035796,23.81292,122.279106,273.942657
253,0.870598,0.021976,0.035657,23.804865,122.337212,273.931091
254,0.870875,0.02185,0.035337,23.808397,122.31366,273.913879
255,0.870236,0.022086,0.035505,23.785677,122.33947,273.986572
256,0.87079,0.022463,0.035844,23.803596,122.291794,273.972504
257,0.871188,0.021247,0.034879,23.768244,122.333153,273.944092
258,0.870541,0.02277,0.036151,23.853949,122.277336,273.998749
259,0.87085,0.021665,0.034722,23.749575,122.243553,273.983368
260,0.870792,0.022201,0.035798,23.812641,122.296288,273.988434
261,0.870477,0.021515,0.035023,23.777031,122.309738,273.965668
262,0.870448,0.021577,0.034873,23.751484,122.292717,273.963989
263,0.870991,0.023031,0.035968,23.770512,122.367973,273.915222
264,0.870616,0.021906,0.035211,23.794777,122.316589,273.949951
265,0.870704,0.022249,0.03563,23.804007,122.289513,273.927002
266,0.870796,0.021825,0.035348,23.79487,122.250824,273.928528
267,0.871153,0.021685,0.035101,23.773457,122.28054,273.908325
268,0.871024,0.021306,0.034852,23.757915,122.312111,273.928131
269,0.870131,0.022363,0.035905,23.806154,122.293533,273.991669
270,0.870423,0.021135,0.035154,23.801043,122.277,273.992493
271,0.871315,0.021086,0.034877,23.793175,122.309135,273.929657
272,0.870288,0.022198,0.035499,23.766459,122.27301,274.025574
273,0.870881,0.021562,0.035109,23.753428,122.326202,273.958191
274,0.870989,0.021511,0.03507,23.768757,122.259148,273.971222
275,0.870898,0.021582,0.035483,23.820585,122.276634,273.967957
276,0.870334,0.021964,0.035614,23.817013,122.311172,273.976013
277,0.870131,0.021987,0.035596,23.786257,122.292603,274.002869
278,0.871142,0.021676,0.035192,23.770546,122.324928,273.890686
279,0.870672,0.022641,0.035943,23.811205,122.283333,273.930359
280,0.870499,0.021064,0.035093,23.794651,122.267281,273.959595
281,0.870073,0.021716,0.035673,23.803074,122.271309,273.982422
282,0.870755,0.021662,0.035679,23.816048,122.267967,273.953766
283,0.870332,0.022729,0.036217,23.821758,122.280891,274.012634
284,0.870945,0.021283,0.035236,23.781713,122.281693,273.957245
285,0.87039,0.021099,0.03481,23.7568,122.262321,274.009399
286,0.870938,0.021668,0.035463,23.806026,122.241463,273.974335
287,0.870365,0.021603,0.034982,23.735577,122.319916,273.984589
288,0.870801,0.02132,0.035186,23.792625,122.293961,273.947113
289,0.870315,0.021959,0.035745,23.792009,122.339508,273.985474
290,0.871051,0.021684,0.034939,23.733459,122.295311,273.888
291,0.870851,0.022282,0.035935,23.841898,122.295631,273.942139
292,0.870668,0.021883,0.035149,23.795795,122.305458,273.934235
293,0.870958,0.022725,0.03612,23.797089,122.274643,273.918884
294,0.871029,0.022999,0.036295,23.805155,122.29805,273.889648
